Monday, 8th. :: None :: None
Tuesday, 9th. :: None :: None
Wednesday, 10th. :: None :: None
Thursday, 11th. :: None :: None
Wednesday, 12th. :: None :: None
Thursday, 13th. :: None :: None
Sunday, 14th. :: None :: None
Monday, 15th. :: None :: None
Tuesday, 16th. :: None :: None
Wednesday, 17th. :: None :: None
Thursday, 18th. :: None :: None
Friday, 19th. :: None :: None
Saturday, 20th. :: None :: None
Sunday, 21st. :: None :: None
Monday, 22nd. :: None :: None
Tuesday, 23rd. :: None :: None
Wednesday, 24th. :: None :: None
Thursday, 25th. :: None :: None
Friday, 26th. :: 49.5 :: -5.867
Saturday, 27th. :: 48.7 :: -6.817
Sunday, 28th. :: 47.267 :: -9.117
Monday, 29th. :: 46.633 :: -9.483
Tuesday, 30th. :: 46.15 :: -9.867
Wednesday, 31st. :: 45.05 :: -8.717
Thursday, September 1st. :: 44.933 :: -9.15
Friday, 2nd. :: 43.883 :: -9.433
Saturday, 3rd. :: 44.15 :: -10.333
Sunday, 4th. :: None :: None
Monday, 5th. :: None :: None
Tuesday, 6th. :: 42.017 :: -9.833
Wednesday, 7th. :: 40.483 :: -10.183
Thursday, 8th. :: None :: None
Friday, 9th. :: 37.067 :: -11.55
Saturday, 10th. :: 35.333 :: -13.467
Sunday, 11th. :: 34.017 :: -14.483
Monday, 12th. :: 32.717 :: -15.883
Tuesday, 13th. :: None :: None
Thursday, 15th. :: None :: None
Friday, 16th. :: None :: None
Saturday, 17th. :: None :: None
Sunday, 18th. :: None :: None
Monday, 19th. :: None :: None
Tuesday, 20th. :: -31.283 :: -17.317
Wednesday, 21st. :: 30.767 :: -16.133
Thursday, 22nd. :: 29.667 :: -15.517
Friday, 23rd. :: 28.85 :: -15.833
Saturday, 24th. :: 28.267 :: -16.633
Sunday, 25th. :: None :: None
Monday, 26th. :: None :: None
Tuesday, 27th. :: None :: None
Wednesday, 28th. :: None :: None
Thursday, 29th. :: None :: None
Friday, 30th. :: None :: None
Saturday, October 1st. :: 14.1 :: -22.167
Sunday, 2nd. :: 12.567 :: -22.167
Monday, 3rd. :: 12.233 :: -22.167
Tuesday, 4th. :: 11.883 :: -22.55
Wednesday, 5th. :: 10.933 :: -22.05
Thursday, 6th. :: 9.667 :: -22.467
Friday, 7th. :: 9.7 :: -22.317
Saturday, 8th. :: 8.417 :: -22.067
Sunday, 9th. :: 7.967 :: -22.217
Monday, 10th. :: 7.8 :: -22.217
Tuesday, 11th. :: 7.6 :: -22.133
Wednesday, 12th. :: 7.35 :: -22.65
Thursday, 13th. :: 7.017 :: -22.533
Friday, 14th. :: 6.633 :: -22.5
Saturday, 15th. :: 6.833 :: -22.383
Sunday, 16th. :: 5.633 :: -23.75
Monday, 17th. :: 5.283 :: -23.783
Tuesday, 18th. :: 4.783 :: -24.383
Wednesday, 19th. :: 3.733 :: -25.383
Thursday, 20th. :: 3.267 :: -26.333
Friday, 21st. :: 2.767 :: -27.183
Saturday, 22nd. :: None :: None
Sunday, 23rd. :: None :: None
Monday, 24th. :: None :: None
Tuesday, 25th. :: -0.25 :: -29.5
Wednesday, 26th. :: None :: None
Thursday, 27th. :: -2.383 :: -31.117
Friday, 28th. :: -3.683 :: -32.483
Saturday, 29th. :: None :: None
Sunday, 30th. :: -7.133 :: -33.067
Monday, 31st. :: -9.017 :: -33.267
Tuesday, November 1st. :: None :: None
Wednesday, 2nd. :: -12.8 :: -32.333
Thursday, 3rd. :: -14.85 :: -33.117
Friday, 4th. :: -16.817 :: -33.617
Saturday, 5th. :: -18.367 :: -34.833
Sunday, 6th. :: -19.05 :: -35.833
Monday, 7th. :: -19.767 :: -36.833
Tuesday, 8th. :: -21.267 :: -37.583
Wednesday, 9th. :: None :: None
Thursday, 10th. :: -21.5 :: -37.717
Friday, 11th. :: -23.617 :: -37.817
Saturday, 12th. :: None :: None
Sunday, 13th. :: None :: None
Tuesday, 15th. :: None :: None
Wednesday, 16th. :: None :: None
Thursday, 17th. :: None :: None
Friday, 18th. :: None :: None
Saturday, 19th. :: None :: None
Sunday, 20th. :: None :: None
Monday, 21st. :: None :: None
Tuesday, 22nd. :: None :: None
Wednesday, 23rd. :: None :: None
Thursday, 24th. :: None :: None
Friday, 25th, Saturday, 26th. :: None :: None
Sunday, 27th. :: None :: None
Monday, 28th. :: None :: None
Tuesday, 29th. :: None :: None
Wednesday, 30th. :: None :: None
Thursday, 1st December. :: None :: None
Friday, 2nd. :: None :: None
Saturday, 3rd. :: None :: None
Sunday, 4th. :: None :: None
Monday, 5th. :: None :: None
Tuesday, 6th. :: None :: None
Wednesday, 7th. :: None :: None
THURSDAY, December 8th. :: -24.283 :: -42.483
Friday, 9th. :: -24.767 :: -42.267
Saturday, 10th. :: -25.567 :: -41.2
Sunday, 11th. :: -25.717 :: -41.133
Monday, 12th. :: -26.233 :: -41.383
Tuesday, 13th. :: -28.0 :: -42.1
Wednesday, 14th. :: -29.4 :: -41.917
Thursday, 15th. :: -30.133 :: -41.65
Friday, 16th. :: -31.35 :: -42.533
Saturday, 17th. :: -32.25 :: -42.8
Sunday, 18th. :: -32.7 :: -43.45
Monday, 19th. :: -34.067 :: -45.1
Tuesday, 20th. :: -36.033 :: -47.233
Wednesday, 21st. :: -37.133 :: -48.5
Thursday, 22nd. :: -37.133 :: -49.017
Friday, 23rd. :: -36.767 :: -49.533
Saturday, 24th. :: -37.183 :: -50.533
Sunday, 25th. :: -38.617 :: -52.083
Monday, 26th. :: -40.317 :: -54.5
Tuesday, 27th. :: -41.633 :: -56.25
Wednesday, 28th. :: -40.817 :: -58.483
Thursday, 29th. :: -41.75 :: -59.617
Friday, 30th. :: -42.533 :: -60.25
Saturday, 31st. :: -43.233 :: -60.433
Sunday, January 1st, 1769. :: -43.583 :: -61.133
Monday, January 2nd. :: -45.283 :: -61.117
Tuesday, 3rd. :: -47.283 :: -61.483
Wednesday, 4th. :: -48.467 :: -60.85
Thursday, 5th. :: -49.817 :: -62.117
Friday, 6th. :: -51.333 :: -62.317
Saturday, 7th. :: -51.433 :: -61.983
Sunday, 8th. :: -51.267 :: -62.833
Monday, 9th. :: None :: None
Tuesday, 10th. :: -52.9 :: -63.167
Wednesday, 11th. :: -54.333 :: -64.583
Thursday, 12th. :: None :: None
Friday, 13th. :: None :: None
Saturday, 14th. :: None :: None
Sunday, 15th. :: None :: None
Monday, 16th. :: None :: None
Tuesday, 17th. :: None :: None
Wednesday, 18th. :: None :: None
Thursday, 19th. :: None :: None
Friday, 20th. :: None :: None
Saturday, 21st. :: None :: None
Sunday, 22nd. :: None :: None
Monday, 23rd. :: None :: None
Tuesday, 24th. :: None :: None
Wednesday, 25th. :: None :: None
Thursday, 26th. :: -56.95 :: -68.217
Friday, 27th. :: -57.033 :: -68.45
Saturday, 28th. :: -58.067 :: -70.017
Sunday, 29th. :: -59.0 :: -72.8
Monday, 30th. :: -60.067 :: -74.167
Tuesday, 31st. :: -59.767 :: -75.9
Wednesday, February 1st. :: -58.767 :: -78.7
Thursday, 2nd. :: -58.5 :: -80.967
Friday, 3rd. :: -58.55 :: -81.917
Saturday, 4th. :: -57.75 :: -82.267
Sunday, 5th. :: -56.767 :: -82.267
Monday, 6th. :: -55.333 :: -82.383
Tuesday, 7th. :: -54.667 :: -82.9
Wednesday, 8th. :: -53.6 :: -83.317
Thursday, 9th. :: -52.367 :: -86.283
Friday, 10th. :: -51.267 :: -86.617
Saturday, 11th. :: -50.917 :: -87.4
Sunday, 12th. :: -49.683 :: -89.6
Monday, 13th. :: -49.583 :: -90.617
Tuesday, 14th. :: -49.1 :: -91.2
Wednesday, 15th. :: -48.45 :: -92.083
Thursday, 16th. :: -48.0 :: -94.417
Friday, 17th. :: -46.8 :: -97.283
Saturday, 18th. :: -44.833 :: -99.117
Sunday, 19th. :: -43.35 :: -100.35
Monday, 20th. :: -43.767 :: -101.567
Tuesday, 21st. :: -44.65 :: -103.9
Wednesday, 22nd. :: -44.767 :: -106.017
Thursday, 23rd. :: -44.583 :: -105.867
Friday, 24th. :: -43.617 :: -107.1
Saturday, 25th. :: -42.383 :: -109.0
Sunday, 26th. :: -41.067 :: -109.867
Monday, 27th. :: None :: None
Tuesday, 28th. :: None :: None
Wednesday, March 1st. :: -38.733 :: -111.717
Thursday, 2nd. :: -37.267 :: -112.083
Friday, 3rd. :: -36.817 :: -111.567
Saturday, 4th. :: -36.2 :: -112.833
Sunday, 5th. :: -36.35 :: -114.15
Monday, 6th. :: -36.533 :: -114.5
Tuesday, 7th. :: -37.133 :: -116.133
Wednesday, 8th. :: -37.4 :: -117.683
Thursday, 9th. :: -35.783 :: -119.3
Friday, 10th. :: -34.233 :: -120.9
Saturday, 11th. :: -32.9 :: -122.583
Sunday, 12th. :: -31.567 :: -124.417
Monday, 13th. :: -30.767 :: -125.467
Tuesday, 14th. :: -30.283 :: -126.167
Wednesday, 15th. :: -29.717 :: -126.883
Thursday, 16th. :: -29.367 :: -127.133
Friday, 17th. :: -28.5 :: -127.483
Saturday, 18th. :: -27.867 :: -128.733
Sunday, 19th. :: -27.35 :: -129.467
Monday, 20th. :: -25.733 :: -129.467
Tuesday, 21st. :: -25.35 :: -129.467
Wednesday, 22nd. :: -25.35 :: -129.867
Thursday, 23rd. :: -24.717 :: -130.133
Friday, 24th. :: -22.383 :: -129.033
Saturday, 25th. :: -22.183 :: -127.917
Sunday, 26th. :: None :: None
Monday, 27th. :: -21.033 :: -127.633
Tuesday, 28th. :: -20.633 :: -127.833
Wednesday, 29th. :: -20.233 :: -129.45
Thursday, 30th. :: -19.567 :: -129.45
Friday, 31st. :: -19.117 :: -131.35
Saturday, April 1st. :: -19.117 :: -133.467
Sunday, 2nd. :: -19.0 :: -135.55
Monday, 3rd. :: -18.767 :: -137.483
Tuesday, 4th. :: -18.7 :: -139.483
Wednesday, 5th. :: -18.417 :: -140.85
Thursday, 6th. :: -18.317 :: -142.483
Friday, 7th. :: -17.8 :: -143.517
Saturday, 8th. :: -17.717 :: -145.267
Sunday, 9th. :: -17.7 :: -146.667
Monday, 10th. :: -18.0 :: -147.783
Tuesday, 11th. :: -17.633 :: -148.65
Wednesday, 12th. :: -17.633 :: -148.967
Thursday, 13th. :: None :: None
Friday, 14th. :: None :: None
Saturday, 15th. :: None :: None
Sunday, 16th. :: None :: None
Monday, 17th. :: None :: None
Tuesday, 18th. :: None :: None
Wednesday, 19th. :: None :: None
Thursday, 20th. :: None :: None
Friday, 21st. :: None :: None
Saturday, 22nd, to Thursday, 27th. :: None :: None
Friday, 28th. :: None :: None
Saturday, 29th. :: None :: None
Sunday, 30th. :: None :: None
Monday, 1st May. :: None :: None
Tuesday, 2nd. :: None :: None
Wednesday, 3rd. :: None :: None
Thursday, 4th. :: None :: None
Friday, 5th. :: None :: None
Saturday, 6th; Sunday, 7th. :: None :: None
Monday, 8th. :: None :: None
Tuesday, 9th; Wednesday, 10th; Thursday, 11th. :: None :: None
Friday, 12th. :: None :: None
Saturday, 13th. :: None :: None
Sunday, 14th. :: None :: None
Monday, 15th. :: None :: None
Tuesday, 16th. :: None :: None
Monday, 22nd, which was usher'd in with thick Cloudy weather, and
Excessive hard Showers of rain and very much Thunder and Lightning, which
Continued the Greater part of the day. :: None :: None
Tuesday, 23rd. :: None :: None
Wednesday, 24th. :: None :: None
Thursday, 25th. :: None :: None
Friday, 26th. :: None :: None
Saturday, 27th. :: None :: None
Sunday, 28th. :: None :: None
Tuesday, 30th. :: None :: None
Wednesday, 31st. :: None :: None
Thursday, June 1st. :: None :: None
Friday, 2nd. :: None :: None
Saturday, 3rd. :: None :: None
Sunday, 4th. :: None :: None
Monday, 5th. :: None :: None
Tuesday, 6th. :: None :: None
Wednesday, 7th; Thursday, 8th; Friday, 9th. :: None :: None
Saturday, 10th. :: None :: None
Sunday, 11th. :: None :: None
Monday, 12th. :: None :: None
Tuesday, 13th. :: None :: None
Wednesday, 14th. :: None :: None
Thursday, 15th. :: None :: None
Friday, 16th; Saturday, 17th. :: None :: None
Sunday, 18th. :: None :: None
Monday, 19th. :: None :: None
Tuesday, 20th. :: None :: None
Wednesday, 21st. :: None :: None
Thursday, 22nd. :: None :: None
Friday, 23rd. :: None :: None
Saturday, 24th, Sunday, 25th. :: None :: None
Monday, 26th. :: None :: None
Tuesday, 27th. :: None :: None
Thursday, 29th. :: None :: None
Sunday, July 9th. :: None :: None
Monday, 10th. :: None :: None
Tuesday, 11th. :: None :: None
Wednesday, 12th. :: None :: None
Thursday, 13th. :: None :: None
FRIDAY, July 14th. :: None :: None
Saturday, 15th. :: None :: None
Sunday, 16th. :: None :: None
Monday, 17th. :: None :: None
Tuesday, 18th. :: None :: None
Wednesday, 19th. :: None :: None
Thursday, 20th. :: None :: None
Friday, 21st. :: None :: None
Saturday, 22nd. :: None :: None
Sunday, 23rd, in so much that I did not think it safe to break the Ship
loose and put to sea as I intended. :: None :: None
Monday, 24th. :: None :: None
Tuesday, 25th. :: None :: None
Wednesday, 26th. :: None :: None
Thursday, 27th. :: None :: None
Friday, 28th. :: None :: None
Saturday, 29th. :: None :: None
Sunday, 30th. :: None :: None
Monday, 31st. :: None :: None
Tuesday, August 1st. :: None :: None
Wednesday, 2nd. :: None :: None
Thursday, 3rd. :: None :: None
Friday, 4th. :: None :: None
Saturday, 5th. :: None :: None
Sunday, 6th. :: None :: None
Monday, 7th. :: None :: None
Tuesday, 8th. :: None :: None
Wednesday, 9th. :: None :: None
Thursday, August 10th. :: None :: None
Friday, 11th. :: -18.983 :: -151.75
Saturday, 12th. :: -20.25 :: -151.6
Sunday, 13th. :: -21.783 :: -151.15
Monday, 14th. :: -22.433 :: -150.917
Tuesday, 15th. :: None :: None
Wednesday, 16th. :: -25.0 :: -150.317
Thursday, 17th. :: -26.167 :: -149.767
Friday, 18th. :: -26.8 :: -149.7
Saturday, 19th. :: -27.667 :: -149.1
Sunday, 20th. :: -28.4 :: -148.417
Monday, 21st. :: -29.733 :: -148.367
Tuesday, 22nd. :: -31.05 :: -148.0
Wednesday, 23rd. :: -31.1 :: -147.483
Thursday, 24th. :: -32.733 :: -147.167
Friday, 25th. :: -32.433 :: -147.533
Saturday, 26th. :: -32.65 :: -147.5
Sunday, 27th. :: -33.567 :: -147.417
Monday, 28th. :: -35.567 :: -147.417
Tuesday, 29th. :: -37.0 :: -147.35
Wednesday, 30th. :: -38.333 :: -147.1
Thursday, 31st. :: -39.467 :: -147.0
Friday, September 1st. :: -40.2 :: -146.483
Saturday, 2nd. :: -39.75 :: -145.65
Sunday, 3rd. :: -38.9 :: -145.65
Monday, 4th. :: -38.483 :: -145.533
Tuesday, 5th. :: -37.867 :: -146.033
Wednesday, 6th. :: None :: None
Thursday, 7th. :: -37.867 :: -147.817
Friday, 8th. :: -36.6 :: -147.667
Saturday, 9th. :: -36.317 :: -149.2
Sunday, 10th. :: -35.317 :: -150.767
Monday, 11th. :: -34.25 :: -152.0
Tuesday, 12th. :: -33.2 :: -152.733
Wednesday, 13th. :: -32.05 :: -153.267
Thursday, 14th. :: -32.083 :: -153.9
Friday, 15th. :: -32.6 :: -156.567
Saturday, 16th. :: -31.75 :: -158.267
Sunday, 17th. :: -31.233 :: -159.1
Monday, 18th. :: -29.0 :: -159.533
Tuesday, 19th. :: -29.0 :: -159.417
Wednesday, 20th. :: -29.333 :: -159.783
Thursday, 21st. :: -30.0 :: -160.7
Friday, 22nd. :: -31.117 :: -161.583
Saturday, 23rd. :: -31.983 :: -162.733
Sunday, 24th. :: -33.3 :: -162.85
Monday, 25th. :: -34.5 :: -165.167
Tuesday, 26th. :: -36.15 :: -167.233
Wednesday, 27th. :: -37.55 :: -168.167
Thursday, 28th. :: -38.983 :: -169.083
Friday, 29th. :: -38.5 :: -170.233
Saturday, 30th. :: -38.433 :: -172.333
Sunday, October 1st. :: -37.75 :: -172.6
Monday, 2nd. :: -37.167 :: -172.9
Tuesday, 3rd. :: -36.933 :: -173.45
Wednesday, 4th. :: -37.717 :: -175.0
Thursday, 5th. :: -38.383 :: -176.05
Friday, 6th. :: -39.183 :: -177.033
Saturday, 7th. :: None :: None
Sunday, 8th. :: None :: None
MONDAY, 9th October. :: None :: None
Tuesday, 10th. :: None :: None
Wednesday, 11th. :: -38.7 :: 178.4
Thursday, 12th. :: None :: None
Friday, 13th. :: None :: None
Saturday, 14th. :: None :: None
Sunday, 15th. :: -39.717 :: 177.6
Monday, 16th. :: None :: None
Tuesday, 17th. :: None :: None
Wednesday, 18th. :: None :: None
Thursday, 19th. :: None :: None
Friday, 20th. :: None :: None
Saturday, 21st. :: None :: None
Sunday, 22nd. :: None :: None
Monday, 23rd. :: None :: None
Tuesday, 24th. :: None :: None
Wednesday, 25th. :: None :: None
Thursday, 26th. :: None :: None
Friday, 27th. :: None :: None
Saturday, 28th. :: None :: None
Monday, 29th. :: None :: None
Monday, 30th. :: None :: None
Tuesday, 31st. :: -37.533 :: 178.167
Wednesday, 1st November. :: None :: None
Thursday, 2nd. :: -37.983 :: 176.883
Friday, 3rd. :: None :: None
Saturday, 4th. :: None :: None
Sunday, 5th. :: None :: None
Monday, 6th. :: None :: None
Tuesday, 7th. :: None :: None
Wednesday, 8th. :: None :: None
Thursday, 9th. :: None :: None
Friday, 10th. :: None :: None
Saturday, 11th. :: None :: None
Sunday, 12th. :: None :: None
Monday, 13th. :: None :: None
Tuesday, 14th. :: None :: None
Wednesday, 15th. :: None :: None
Thursday, 16th. :: None :: None
Friday, 17th. :: None :: None
Saturday, 18th. :: None :: None
Sunday, 19th. :: None :: None
Monday, 20th. :: None :: None
Tuesday, 21st. :: None :: None
Wednesday, 22nd. :: None :: None
Thursday, 23rd. :: None :: None
Friday, 24th. :: -36.433 :: 175.55
Saturday, 25th. :: None :: None
Sunday, 26th. :: None :: None
Monday, 27th. :: None :: None
Tuesday, 28th. :: None :: None
Wednesday, 29th. :: None :: None
Thursday, 30th. :: None :: None
Friday, 1st December. :: None :: None
Saturday, 2nd. :: None :: None
Sunday, 3rd. :: None :: None
Monday, 4th. :: None :: None
Tuesday, 5th. :: None :: None
Wednesday, 6th. :: None :: None
Thursday, 7th. :: None :: None
Friday, 8th. :: None :: None
Saturday, 9th. :: None :: None
Sunday, 10th. :: -34.85 :: 173.167
Monday, 11th. :: None :: None
Tuesday, 12th. :: None :: None
Wednesday, 13th. :: None :: None
Thursday, 14th. :: None :: None
Friday, 15th. :: None :: None
Saturday, 16th. :: None :: None
Sunday, 17th. :: None :: None
Monday, 18th. :: None :: None
Tuesday, 19th. :: None :: None
Wednesday, 20th. :: None :: None
Thursday, 21st. :: None :: None
Friday, 22nd. :: None :: None
Saturday, 23rd. :: None :: None
Sunday, 24th. :: None :: None
Monday, 25th. :: None :: None
Tuesday, 26th. :: None :: None
Wednesday, 27th. :: None :: None
Thursday, 28th. :: None :: None
Friday, 29th. :: None :: None
Saturday, 30th. :: None :: None
Sunday, 31st. :: None :: None
Monday, January 1st. :: None :: None
Tuesday, 2nd. :: None :: None
Wednesday, 3rd. :: None :: None
Thursday, 4th. :: None :: None
Friday, 5th. :: None :: None
Saturday, 6th. :: None :: None
Sunday, 7th. :: None :: None
Monday, 8th. :: None :: None
Tuesday, 9th. :: None :: None
Wednesday, 10th. :: None :: None
Thursday, 11th. :: None :: None
Friday, 12th. :: None :: None
Saturday, 13th. :: None :: None
Sunday, 14th. :: None :: None
Monday, 15th. :: None :: None
TUESDAY, 16th. :: None :: None
Wednesday, 17th. :: None :: None
Thursday, 18th. :: None :: None
Friday, 19th. :: None :: None
Saturday, 20th. :: None :: None
